,Date,RentedBikeCount,Hour,Temperature,Humidity,Wind speed,Visibility,Dew point temperature,Solar Radiation,Rainfall,Snowfall,Seasons,Holiday,Functioning Day
0,2017-12-22,196,0,-1.7,79,0.5,794,-4.8,0.0,0.0,0.8,Winter,Holiday,True
1,2017-12-22,250,1,-1.6,79,0.6,784,-4.7,0.0,0.0,0.8,Winter,Holiday,True
2,2017-12-22,161,2,-1.1,79,0.7,736,-4.2,0.0,0.0,0.8,Winter,Holiday,True
3,2017-12-22,99,3,-0.6,76,0.5,789,-4.3,0.0,0.0,0.7,Winter,Holiday,True
4,2017-12-22,64,4,-0.3,76,0.9,760,-4.0,0.0,0.0,0.7,Winter,Holiday,True
5,2017-12-22,76,5,-0.2,73,0.8,880,-4.4,0.0,0.0,0.7,Winter,Holiday,True
6,2017-12-22,114,6,-0.1,71,0.8,895,-4.7,0.0,0.0,0.7,Winter,Holiday,True
7,2017-12-22,283,7,-0.3,72,0.7,919,-4.7,0.0,0.0,0.7,Winter,Holiday,True
8,2017-12-22,544,8,-0.4,69,0.5,904,-5.4,0.0,0.0,0.7,Winter,Holiday,True
9,2017-12-22,298,9,0.3,67,0.7,897,-5.1,0.03,0.0,0.6,Winter,Holiday,True
10,2017-12-22,248,10,1.4,64,1.0,897,-4.6,0.25,0.0,0.5,Winter,Holiday,True
11,2017-12-22,278,11,3.1,57,0.8,804,-4.6,0.63,0.0,0.0,Winter,Holiday,True
12,2017-12-22,301,12,4.5,56,0.8,836,-3.5,0.71,0.0,0.0,Winter,Holiday,True
13,2017-12-22,320,13,5.4,55,1.2,820,-2.9,0.66,0.0,0.0,Winter,Holiday,True
14,2017-12-22,326,14,5.9,55,0.6,779,-2.4,0.48,0.0,0.0,Winter,Holiday,True
15,2017-12-22,386,15,6.5,55,0.9,801,-1.9,0.38,0.0,0.0,Winter,Holiday,True
16,2017-12-22,416,16,6.0,58,0.7,732,-1.6,0.19,0.0,0.0,Winter,Holiday,True
17,2017-12-22,477,17,5.4,61,1.3,691,-1.5,0.08,0.0,0.0,Winter,Holiday,True
18,2017-12-22,671,18,4.9,63,0.6,677,-1.5,0.0,0.0,0.0,Winter,Holiday,True
19,2017-12-22,481,19,5.2,64,0.7,691,-1.0,0.0,0.0,0.0,Winter,Holiday,True
20,2017-12-22,323,20,5.9,67,1.3,779,0.2,0.0,0.0,0.0,Winter,Holiday,True
21,2017-12-22,309,21,6.1,70,2.2,763,1.0,0.0,0.0,0.0,Winter,Holiday,True
22,2017-12-22,314,22,6.1,70,2.7,806,1.0,0.0,0.0,0.0,Winter,Holiday,True
23,2017-12-22,249,23,5.8,74,2.5,832,1.5,0.0,0.0,0.0,Winter,Holiday,True
24,2017-12-24,266,0,5.6,78,0.6,196,2.0,0.0,0.0,0.0,Winter,Holiday,True
25,2017-12-24,251,1,5.6,78,0.5,197,2.0,0.0,0.0,0.0,Winter,Holiday,True
26,2017-12-24,196,2,5.4,80,0.9,190,2.2,0.0,0.0,0.0,Winter,Holiday,True
27,2017-12-24,149,3,5.2,82,0.8,190,2.3,0.0,0.0,0.0,Winter,Holiday,True
28,2017-12-24,79,4,5.2,82,0.7,189,2.3,0.0,0.0,0.0,Winter,Holiday,True
29,2017-12-24,44,5,5.1,82,0.6,185,2.2,0.0,0.0,0.0,Winter,Holiday,True
30,2017-12-24,12,6,4.9,84,1.3,159,2.4,0.0,0.1,0.0,Winter,Holiday,True
31,2017-12-24,3,7,4.7,89,1.1,100,3.0,0.0,0.0,0.0,Winter,Holiday,True
32,2017-12-24,4,8,4.6,91,1.7,95,3.2,0.0,0.0,0.0,Winter,Holiday,True
33,2017-12-24,3,9,4.6,94,0.9,90,3.7,0.0,6.4,0.0,Winter,Holiday,True
34,2017-12-24,4,10,4.8,96,0.6,87,4.2,0.04,0.0,0.0,Winter,Holiday,True
35,2017-12-24,9,11,4.6,95,0.8,156,3.8,0.05,0.0,0.0,Winter,Holiday,True
36,2017-12-24,4,12,4.1,91,0.8,404,2.7,0.07,9.5,0.0,Winter,Holiday,True
37,2017-12-24,7,13,3.7,90,0.7,744,2.2,0.15,0.0,0.0,Winter,Holiday,True
38,2017-12-24,28,14,3.3,90,2.5,561,1.8,0.19,0.0,0.0,Winter,Holiday,True
39,2017-12-24,38,15,2.9,90,2.0,380,1.4,0.08,3.5,0.0,Winter,Holiday,True
40,2017-12-24,54,16,2.3,91,3.3,270,0.9,0.07,0.0,0.0,Winter,Holiday,True
41,2017-12-24,104,17,2.2,86,2.6,605,0.0,0.04,0.0,0.0,Winter,Holiday,True
42,2017-12-24,128,18,1.9,82,4.3,699,-0.8,0.01,0.5,0.0,Winter,Holiday,True
43,2017-12-24,132,19,1.1,68,4.4,695,-4.1,0.0,0.0,0.0,Winter,Holiday,True
44,2017-12-24,116,20,0.6,67,3.3,506,-4.8,0.0,0.0,0.0,Winter,Holiday,True
45,2017-12-24,145,21,0.4,69,3.5,477,-4.6,0.0,0.0,0.0,Winter,Holiday,True
46,2017-12-24,110,22,0.2,69,2.7,565,-4.8,0.0,0.0,0.0,Winter,Holiday,True
47,2017-12-24,128,23,0.0,63,3.2,884,-6.2,0.0,0.0,0.0,Winter,Holiday,True
48,2017-12-25,160,0,-0.6,64,2.4,1010,-6.5,0.0,0.0,0.0,Winter,Holiday,True
49,2017-12-25,132,1,-1.2,57,4.3,1429,-8.6,0.0,0.0,0.0,Winter,Holiday,True
50,2017-12-25,115,2,-1.8,53,4.1,1825,-10.1,0.0,0.0,0.0,Winter,Holiday,True
51,2017-12-25,100,3,-2.3,52,3.4,1947,-10.8,0.0,0.0,0.0,Winter,Holiday,True
52,2017-12-25,72,4,-3.0,51,3.2,2000,-11.7,0.0,0.0,0.0,Winter,Holiday,True
53,2017-12-25,32,5,-3.7,51,2.6,2000,-12.3,0.0,0.0,0.0,Winter,Holiday,True
54,2017-12-25,59,6,-4.1,50,3.0,2000,-13.0,0.0,0.0,0.0,Winter,Holiday,True
55,2017-12-25,61,7,-4.6,46,2.8,2000,-14.4,0.0,0.0,0.0,Winter,Holiday,True
56,2017-12-25,94,8,-4.9,44,3.0,2000,-15.3,0.0,0.0,0.0,Winter,Holiday,True
57,2017-12-25,107,9,-4.6,40,3.5,2000,-16.1,0.18,0.0,0.0,Winter,Holiday,True
58,2017-12-25,133,10,-3.7,35,3.7,1937,-16.9,0.57,0.0,0.0,Winter,Holiday,True
59,2017-12-25,179,11,-2.8,35,2.9,1984,-16.1,0.87,0.0,0.0,Winter,Holiday,True
60,2017-12-25,221,12,-1.6,33,2.5,1874,-15.8,1.18,0.0,0.0,Winter,Holiday,True
61,2017-12-25,244,13,-1.5,33,3.8,2000,-15.7,1.18,0.0,0.0,Winter,Holiday,True
62,2017-12-25,274,14,-0.4,31,2.0,2000,-15.5,1.1,0.0,0.0,Winter,Holiday,True
63,2017-12-25,319,15,0.4,28,2.5,2000,-16.0,0.9,0.0,0.0,Winter,Holiday,True
64,2017-12-25,272,16,0.4,27,2.0,2000,-16.4,0.58,0.0,0.0,Winter,Holiday,True
65,2017-12-25,260,17,-0.7,29,2.0,2000,-16.5,0.21,0.0,0.0,Winter,Holiday,True
66,2017-12-25,237,18,-1.6,33,2.0,2000,-15.8,0.0,0.0,0.0,Winter,Holiday,True
67,2017-12-25,184,19,-1.8,41,2.1,2000,-13.3,0.0,0.0,0.0,Winter,Holiday,True
68,2017-12-25,181,20,-2.1,49,1.7,2000,-11.4,0.0,0.0,0.0,Winter,Holiday,True
69,2017-12-25,185,21,-1.7,51,1.7,2000,-10.5,0.0,0.0,0.0,Winter,Holiday,True
70,2017-12-25,176,22,-1.3,53,1.7,2000,-9.6,0.0,0.0,0.0,Winter,Holiday,True
71,2017-12-25,169,23,-1.0,55,1.9,2000,-8.9,0.0,0.0,0.0,Winter,Holiday,True
72,2017-12-31,43,0,0.9,95,1.8,63,0.1,0.0,0.2,0.2,Winter,Holiday,True
73,2017-12-31,43,1,0.5,95,2.1,79,-0.2,0.0,0.0,0.6,Winter,Holiday,True
74,2017-12-31,65,2,0.4,95,1.7,110,-0.3,0.0,0.0,1.2,Winter,Holiday,True
75,2017-12-31,65,3,0.3,91,2.0,172,-1.0,0.0,1.0,1.2,Winter,Holiday,True
76,2017-12-31,32,4,-0.2,87,3.5,246,-2.1,0.0,0.0,1.2,Winter,Holiday,True
77,2017-12-31,22,5,-0.8,85,2.8,329,-3.0,0.0,0.0,1.2,Winter,Holiday,True
78,2017-12-31,25,6,-1.3,84,2.4,425,-3.6,0.0,0.0,1.2,Winter,Holiday,True
79,2017-12-31,39,7,-1.8,86,1.7,367,-3.8,0.0,0.0,1.2,Winter,Holiday,True
80,2017-12-31,84,8,-2.1,86,1.4,354,-4.1,0.0,0.0,1.2,Winter,Holiday,True
81,2017-12-31,103,9,-1.9,82,1.6,410,-4.5,0.15,0.0,1.2,Winter,Holiday,True
82,2017-12-31,110,10,-0.5,73,1.7,609,-4.7,0.53,0.0,1.1,Winter,Holiday,True
83,2017-12-31,142,11,0.8,62,2.8,801,-5.6,0.88,0.0,1.1,Winter,Holiday,True
